country,year,investment_pct_gdp
Honduras,2004,29.6655573270591
Honduras,2005,27.6229758897269
Honduras,2006,28.3419297293105
Honduras,2007,33.665300607277
Honduras,2008,36.0659698365463
Honduras,2009,20.599443751492
Honduras,2010,21.8798406875029
Honduras,2011,25.9999916424846
Honduras,2012,24.5642087901292
Honduras,2013,21.7603523031056
Honduras,2014,22.1838322277385
Honduras,2015,25.1179830288624
Honduras,2016,23.3771285357634
Honduras,2017,24.8207131723601
Honduras,2018,26.572086282814
Honduras,2019,22.9676941165281
Honduras,2020,19.666372727561
Honduras,2021,24.2309330499915
Honduras,2022,26.3262317410881
Honduras,2023,22.1864309601857
Honduras,2024,22.4923355282969
Peru,1960,46.2394167783707
Peru,1961,45.2451566144729
Peru,1962,45.2358934985738
Peru,1963,40.830645291199
Peru,1964,38.2615553054347
