Domain Code,Domain,Area Code (M49),country,Element Code,Element,Item Code (CPC),Item,Year Code,year,Unit,production_tonnes,Flag,Flag Description,Note,employment_agri_pct,rural_pop_growth_pct,investment_pct_gdp
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2011,2011,TRUE,2700540,A,Official figure,NA,9.91359783747564,-0.982544298396256,21.826271117187
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2012,2012,TRUE,3037534,A,Official figure,NA,9.84814738146128,-0.991675272921636,21.4172253693275
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2013,2013,TRUE,2964538,A,Official figure,NA,10.026069695524,-0.995259127392672,21.6937669560679
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2014,2014,TRUE,2804070,A,Official figure,NA,9.30650434255853,-0.999757307752816,20.5484107558184
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2015,2015,TRUE,2647504,A,Official figure,NA,9.33239155729419,-1.01230036917971,17.4116258667237
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2016,2016,TRUE,3024466,A,Official figure,NA,9.79792938880965,-1.0374793187564,14.9695469727335
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2017,2017,TRUE,2684508,A,Official figure,NA,9.19143068916888,-1.06396033198931,14.6255875977741
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2018,2018,TRUE,3552729,A,Official figure,NA,9.05694322318805,-1.09866407996527,15.0950416297894
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2019,2019,TRUE,3011745,A,Official figure,NA,8.87727798547265,-1.1169772665822,15.5167908016709
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2020,2020,TRUE,3705719,A,Official figure,NA,9.31407456340287,-1.1732779328096,16.1158206044059
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2021,2021,TRUE,2985581,A,Official figure,NA,9.4956089681342,-1.30752198689727,19.521885020934
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2022,2022,TRUE,3179341,A,Official figure,NA,8.73144037065037,-1.31325226413425,18.0882204442791
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2023,2023,TRUE,3348510,A,Official figure,NA,8.20281833943009,-1.73253623567032,15.7606472061782
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2024,2024,TRUE,3387724,A,Official figure,NA,7.71565234574918,-1.88050154508882,16.9814356039822
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1961,1961,TRUE,450000,A,Official figure,NA,NA,1.2292998130979,20.4925719075639
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1962,1962,TRUE,482100,A,Official figure,NA,NA,1.1878282323775,18.1265918501018
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1963,1963,TRUE,450000,A,Official figure,NA,NA,1.1197748307398,17.654420741864
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1964,1964,TRUE,468000,A,Official figure,NA,NA,1.03872466636305,17.5140547950811
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1965,1965,TRUE,492000,A,Official figure,NA,NA,0.893017360835094,14.7252347573072
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1966,1966,TRUE,492000,A,Official figure,NA,NA,0.674721706553799,19.0584703554616
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1967,1967,TRUE,456000,A,Official figure,NA,NA,0.482066351912852,16.9980119284294
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1968,1968,TRUE,480000,A,Official figure,NA,NA,0.329404874724525,19.0902350106074
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1969,1969,TRUE,474000,A,Official figure,NA,NA,0.205000568635078,17.8773449806673
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1970,1970,TRUE,507000,A,Official figure,NA,NA,0.139129481691922,20.2322848879248
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1971,1971,TRUE,468000,A,Official figure,NA,NA,0.0984483642685584,19.4154702795633
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1972,1972,TRUE,432000,A,Official figure,NA,NA,0.14951342704028,18.1268260782432
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1973,1973,TRUE,528000,A,Official figure,NA,NA,0.335101924178687,18.2698634643856
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1974,1974,TRUE,470000,A,Official figure,NA,NA,0.489528626459064,21.4557794431485
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1975,1975,TRUE,513200,A,Official figure,NA,NA,0.568183443320714,16.9925057021831
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1976,1976,TRUE,483000,A,Official figure,NA,NA,0.615836667989304,17.5627031393841
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1977,1977,TRUE,639420,A,Official figure,NA,NA,0.725048990273469,18.7520337863411
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1978,1978,TRUE,683220,A,Official figure,NA,NA,0.824787418498877,18.2842635463728
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1979,1979,TRUE,713340,A,Official figure,NA,NA,0.853480691052126,18.1509853913596
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1980,1980,TRUE,724380,A,Official figure,NA,NA,0.925748788329399,19.0685377391348
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1981,1981,TRUE,782200,A,Official figure,NA,NA,0.965013442771763,20.6239947790292
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1982,1982,TRUE,773600,A,Official figure,NA,NA,0.972166565400246,20.4871425036179
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1983,1983,TRUE,768600,A,Official figure,NA,NA,0.990807537359873,19.8932136967006
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1984,1984,TRUE,807800,A,Official figure,NA,NA,0.917523127945195,18.9649700356585
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1985,1985,TRUE,643100,A,Official figure,NA,NA,0.709059133199401,19.0409037023224
