Domain Code,Domain,Area Code (M49),country,Element Code,Element,Item Code (CPC),Item,Year Code,year,Unit,production_tonnes,Flag,Flag Description,Note
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1973,1973,TRUE,528000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1974,1974,TRUE,470000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1975,1975,TRUE,513200,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1976,1976,TRUE,483000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1977,1977,TRUE,639420,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1978,1978,TRUE,683220,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1979,1979,TRUE,713340,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1980,1980,TRUE,724380,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1981,1981,TRUE,782200,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1982,1982,TRUE,773600,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1983,1983,TRUE,768600,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1984,1984,TRUE,807800,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1985,1985,TRUE,643100,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1986,1986,TRUE,713500,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1987,1987,TRUE,651600,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1988,1988,TRUE,708700,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1989,1989,TRUE,664000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1990,1990,TRUE,845000,A,Official figure,NA
